The Star,"{""type"":""Point"",""coordinates"":[-0.327640916609402,51.3268563619914]}"
The Smuggler's Tavern,"{""type"":""Point"",""coordinates"":[-0.151000151727389,51.3188580809773]}"
The Pembroke,"{""type"":""Point"",""coordinates"":[-0.138713893586486,51.3209109755397]}"
Tudor Rose,"{""type"":""Point"",""coordinates"":[-0.119580676350025,51.3064410120693]}"
Wattenden Arms,"{""type"":""Point"",""coordinates"":[-0.102377758996079,51.3076722171789]}"
The Kenley Hotel,"{""type"":""Point"",""coordinates"":[-0.100838316093683,51.3257747102078]}"
The Railway Bell,"{""type"":""Point"",""coordinates"":[-0.369782234060375,51.4158967942246]}"
The World's End,"{""type"":""Point"",""coordinates"":[-0.366707390674362,51.4151048799689]}"
The Bell,"{""type"":""Point"",""coordinates"":[-0.361866010282128,51.4129433072148]}"
The Jolly Coopers,"{""type"":""Point"",""coordinates"":[-0.36197901834487,51.413683601784]}"
Kings Arms,"{""type"":""Point"",""coordinates"":[-0.49136363821119,51.4798670614082]}"
The White Horse,"{""type"":""Point"",""coordinates"":[-0.490386900002767,51.4807510018742]}"
The Rising Sun,"{""type"":""Point"",""coordinates"":[-0.476661091619063,51.4602834993441]}"
The Crown,"{""type"":""Point"",""coordinates"":[-0.477974338732917,51.4887944643709]}"
The Five Bells,"{""type"":""Point"",""coordinates"":[-0.478910562922027,51.4888473790296]}"
The Crown,"{""type"":""Point"",""coordinates"":[-0.456137461985841,51.4887504992907]}"
King William IV,"{""type"":""Point"",""coordinates"":[-0.457872288462533,51.4901880123869]}"
The Pheasant,"{""type"":""Point"",""coordinates"":[-0.440494828448883,51.4851696081307]}"
The Plough,"{""type"":""Point"",""coordinates"":[-0.457764131302325,51.4934999930929]}"
Three Horseshoes,"{""type"":""Point"",""coordinates"":[-0.420665416867228,51.4379545648887]}"
The General Roy,"{""type"":""Point"",""coordinates"":[-0.411380879248211,51.4379453812914]}"
The Mansion,"{""type"":""Point"",""coordinates"":[-0.419386126071114,51.4392326908395]}"
The Bell on the Green,"{""type"":""Point"",""coordinates"":[-0.439361693549494,51.4509707937731]}"
The Load of Hay,"{""type"":""Point"",""coordinates"":[-0.425692119702576,51.4546096754026]}"
The Beehive,"{""type"":""Point"",""coordinates"":[-0.420114749598063,51.4554273818245]}"
The Red Lion,"{""type"":""Point"",""coordinates"":[-0.410931362280037,51.4437992700517]}"
The Moon on the Square,"{""type"":""Point"",""coordinates"":[-0.410118836105551,51.4463819769589]}"
The Royal Oak,"{""type"":""Point"",""coordinates"":[-0.381545582874391,51.4234378645336]}"
The New Moon,"{""type"":""Point"",""coordinates"":[-0.393120015984158,51.4283024813719]}"
